# The element -> attribute-name dataset vilan-ide's element-head completion
# is generated from (tracker E69). GENERATED FILE -- do not hand-edit.
#
# refresh:   python3 scripts/regen-html-attributes.py --fetch   (network)
# consumer:  crates/vilan-ide/src/html_attributes_sync.rs   (TSV -> Rust)
#            the ONE implementation of that arrow (N107). It renders
#            html_attributes.rs from these rows and diffs it byte for byte on
#            every `cargo test`, offline; VILAN_REGENERATE_HTML_ATTRIBUTES=1
#            rewrites the table instead of failing.
#
# `element` is a tag name, `*` (every element) or `svg:*` (every SVG-shaped
# element). A row with an EMPTY attribute registers the tag and nothing else.
# Only names a vilan element head can spell are extracted: a namespaced entry
# (`xml:space`) has no head spelling, and an SVG `on…` row is an event handler,
# which the `*`/html-event-handler-index rows carry in their own spelling.
#
# fetched:   2026-09-17
# source:    https://html.spec.whatwg.org/multipage/indices.html
#            sha256 6153c9adfca5a155a57f3afa17f66d71d830d54df2525b4710dd800348c4bdef
# source:    https://www.w3.org/TR/SVG2/attindex.html
#            sha256 d008a1b62808268bfda853659e425554f6fbc9b2e3f415bc2b6aad437712bd50
#
# element	attribute	source
*	accesskey	html-attribute-index
*	autocapitalize	html-attribute-index
*	autocorrect	html-attribute-index
*	autofocus	html-attribute-index
*	class	html-attribute-index
*	contenteditable	html-attribute-index
*	dir	html-attribute-index
*	draggable	html-attribute-index
*	enterkeyhint	html-attribute-index
*	headingoffset	html-attribute-index
*	headingreset	html-attribute-index
*	hidden	html-attribute-index
*	id	html-attribute-index
*	inert	html-attribute-index
*	inputmode	html-attribute-index
*	is	html-attribute-index
*	itemid	html-attribute-index
*	itemprop	html-attribute-index
*	itemref	html-attribute-index
*	itemscope	html-attribute-index
*	itemtype	html-attribute-index
*	lang	html-attribute-index
*	nonce	html-attribute-index
*	onauxclick	html-event-handler-index
*	onbeforeinput	html-event-handler-index
*	onbeforematch	html-event-handler-index
*	onbeforetoggle	html-event-handler-index
*	onblur	html-event-handler-index
*	oncancel	html-event-handler-index
*	oncanplay	html-event-handler-index
*	oncanplaythrough	html-event-handler-index
*	onchange	html-event-handler-index
*	onclick	html-event-handler-index
*	onclose	html-event-handler-index
*	oncommand	html-event-handler-index
*	oncontextlost	html-event-handler-index
*	oncontextmenu	html-event-handler-index
*	oncontextrestored	html-event-handler-index
*	oncopy	html-event-handler-index
*	oncuechange	html-event-handler-index
*	oncut	html-event-handler-index
*	ondblclick	html-event-handler-index
*	ondrag	html-event-handler-index
*	ondragend	html-event-handler-index
*	ondragenter	html-event-handler-index
*	ondragleave	html-event-handler-index
*	ondragover	html-event-handler-index
*	ondragstart	html-event-handler-index
*	ondrop	html-event-handler-index
*	ondurationchange	html-event-handler-index
*	onemptied	html-event-handler-index
*	onended	html-event-handler-index
*	onerror	html-event-handler-index
*	onfocus	html-event-handler-index
*	onformdata	html-event-handler-index
*	oninput	html-event-handler-index
*	oninvalid	html-event-handler-index
*	onkeydown	html-event-handler-index
*	onkeypress	html-event-handler-index
*	onkeyup	html-event-handler-index
*	onload	html-event-handler-index
*	onloadeddata	html-event-handler-index
*	onloadedmetadata	html-event-handler-index
*	onloadstart	html-event-handler-index
*	onmousedown	html-event-handler-index
*	onmouseenter	html-event-handler-index
*	onmouseleave	html-event-handler-index
*	onmousemove	html-event-handler-index
*	onmouseout	html-event-handler-index
*	onmouseover	html-event-handler-index
*	onmouseup	html-event-handler-index
*	onpaste	html-event-handler-index
*	onpause	html-event-handler-index
*	onplay	html-event-handler-index
*	onplaying	html-event-handler-index
*	onprogress	html-event-handler-index
*	onratechange	html-event-handler-index
*	onreset	html-event-handler-index
*	onresize	html-event-handler-index
*	onscroll	html-event-handler-index
*	onscrollend	html-event-handler-index
*	onsecuritypolicyviolation	html-event-handler-index
*	onseeked	html-event-handler-index
*	onseeking	html-event-handler-index
*	onselect	html-event-handler-index
*	onslotchange	html-event-handler-index
*	onstalled	html-event-handler-index
*	onsubmit	html-event-handler-index
*	onsuspend	html-event-handler-index
*	ontimeupdate	html-event-handler-index
*	ontoggle	html-event-handler-index
*	onvolumechange	html-event-handler-index
*	onwaiting	html-event-handler-index
*	onwheel	html-event-handler-index
*	popover	html-attribute-index
*	slot	html-attribute-index
*	spellcheck	html-attribute-index
*	style	html-attribute-index
*	tabindex	html-attribute-index
*	title	html-attribute-index
*	translate	html-attribute-index
*	writingsuggestions	html-attribute-index
a	download	html-attribute-index
a	href	html-attribute-index
a	hreflang	html-attribute-index
a	ping	html-attribute-index
a	referrerpolicy	html-attribute-index
a	rel	html-attribute-index
a	target	html-attribute-index
a	type	html-attribute-index
abbr	title	html-attribute-index
animate		svg-element-index
animate	accumulate	svg-attribute-index
animate	additive	svg-attribute-index
animate	attributeName	svg-attribute-index
animate	begin	svg-attribute-index
animate	by	svg-attribute-index
animate	calcMode	svg-attribute-index
animate	class	svg-attribute-index
animate	dur	svg-attribute-index
animate	end	svg-attribute-index
animate	fill	svg-attribute-index
animate	from	svg-attribute-index
animate	href	svg-attribute-index
animate	id	svg-attribute-index
animate	keySplines	svg-attribute-index
animate	keyTimes	svg-attribute-index
animate	lang	svg-attribute-index
animate	max	svg-attribute-index
animate	min	svg-attribute-index
animate	repeatCount	svg-attribute-index
animate	repeatDur	svg-attribute-index
animate	requiredExtensions	svg-attribute-index
animate	restart	svg-attribute-index
animate	style	svg-attribute-index
animate	systemLanguage	svg-attribute-index
animate	tabindex	svg-attribute-index
animate	to	svg-attribute-index
animate	values	svg-attribute-index
animateMotion		svg-element-index
animateMotion	accumulate	svg-attribute-index
animateMotion	additive	svg-attribute-index
animateMotion	begin	svg-attribute-index
animateMotion	by	svg-attribute-index
animateMotion	calcMode	svg-attribute-index
animateMotion	class	svg-attribute-index
animateMotion	dur	svg-attribute-index
animateMotion	end	svg-attribute-index
animateMotion	fill	svg-attribute-index
animateMotion	from	svg-attribute-index
animateMotion	href	svg-attribute-index
animateMotion	id	svg-attribute-index
animateMotion	keyPoints	svg-attribute-index
animateMotion	keySplines	svg-attribute-index
animateMotion	keyTimes	svg-attribute-index
animateMotion	lang	svg-attribute-index
animateMotion	max	svg-attribute-index
animateMotion	min	svg-attribute-index
animateMotion	origin	svg-attribute-index
animateMotion	path	svg-attribute-index
animateMotion	repeatCount	svg-attribute-index
animateMotion	repeatDur	svg-attribute-index
animateMotion	requiredExtensions	svg-attribute-index
animateMotion	restart	svg-attribute-index
animateMotion	rotate	svg-attribute-index
animateMotion	style	svg-attribute-index
animateMotion	systemLanguage	svg-attribute-index
animateMotion	tabindex	svg-attribute-index
animateMotion	to	svg-attribute-index
animateMotion	values	svg-attribute-index
animateTransform		svg-element-index
animateTransform	accumulate	svg-attribute-index
animateTransform	additive	svg-attribute-index
animateTransform	attributeName	svg-attribute-index
animateTransform	begin	svg-attribute-index
animateTransform	by	svg-attribute-index
animateTransform	calcMode	svg-attribute-index
animateTransform	class	svg-attribute-index
animateTransform	dur	svg-attribute-index
animateTransform	end	svg-attribute-index
animateTransform	fill	svg-attribute-index
animateTransform	from	svg-attribute-index
animateTransform	href	svg-attribute-index
animateTransform	id	svg-attribute-index
